RJ;PR;2280;FRANCISCO FLORIANO DE SOUSA SILVA;FRANCISCO FLORIANO;Deputado Federal;Apto;Deferido
RJ;PT;1310;FRANCISCO JOS� D'ANGELO PINTO;CHICO D'ANGELO;Deputado Federal;Apto;Deferido
CE;PC do B;6565;FRANCISCO LOPES DA SILVA;CHICO LOPES;Deputado Federal;Apto;Deferido
RJ;PSOL;5050;FRANCISCO RODRIGUES DE ALENCAR FILHO;CHICO ALENCAR;Deputado Federal;Apto;Deferido
PE;PSB;4020;FRANCISCO TADEU BARBOSA DE ALENCAR;TADEU ALENCAR;Deputado Federal;Apto;Deferido
MG;PT do B;7012;FRANKLIN ROBERTO DE LIMA SOUZA;PASTOR FRANKLIN LIMA;Deputado Federal;Apto;Deferido
MG;PT;1311;GABRIEL GUIMAR�ES DE ANDRADE;GABRIEL GUIMAR�ES;Deputado Federal;Apto;Deferido
CE;SD;7777;GENECIAS MATEUS NORONHA;GENECIAS NORONHA;Deputado Federal;Apto;Deferido
MG;PRB;1010;GEORGE HILTON DOS SANTOS CECILIO;GEORGE HILTON;Deputado Federal;Apto;Deferido
SC;PSDB;4577;GEOVANIA DE SA RODRIGUES;GEOVANIA DE S�;Deputado Federal;Apto;Deferido
MS;PMDB;1511;GERALDO RESENDE PEREIRA;GERALDO RESENDE;Deputado Federal;Apto;Deferido
RS;PT;1301;GILBERTO JOS� SPIER VARGAS;PEPE VARGAS;Deputado Federal;Apto;Deferido
SP;PSC;2020;GILBERTO NASCIMENTO SILVA;GILBERTO NASCIMENTO;Deputado Federal;Apto;Deferido
RS;PMDB;1515;GIOVANI BATISTA FELTES;GIOVANI FELTES;Deputado Federal;Apto;Deferido
RS;PDT;1221;GIOVANI CHERINI;GIOVANI  CHERINI;Deputado Federal;Apto;Deferido
GO;PSDB;4545;GIUSEPPE VECCI;GIUSEPPE VECCI;Deputado Federal;Apto;Deferido
AL;PROS;9090;GIVALDO DE S� GOUVEIA CARIMB�O;GIVALDO CARIMB�O;Deputado Federal;Apto;Deferido
ES;PT;1320;GIVALDO VIEIRA DA SILVA;GIVALDO;Deputado Federal;Apto;Deferido
RJ;PSB;4080;GLAUBER DE MEDEIROS BRAGA;GLAUBER;Deputado Federal;Apto;Deferido
SP;PP;1100;GUILHERME MUSSI FERREIRA;GUILHERME MUSSI;Deputado Federal;Apto;Deferido
PE;PSDB;4500;HEBERTE LAMARCK GOMES DA SILVA;BETINHO;Deputado Federal;Apto;Deferido
RS;PSB;4012;HEITOR JOSE SCHUCH;HEITOR SCHUCH;Deputado Federal;Apto;Deferido
ES;PT;1350;HELDER IGNACIO SALOMAO;HELDER SALOMAO;Deputado Federal;Apto;Deferido
PA;DEM;2525;HELIO LEITE DA SILVA;H�LIO LEITE;Deputado Federal;Apto;Deferido
RS;PT;1313;HENRIQUE FONTANA JUNIOR;HENRIQUE FONTANA;Deputado Federal;Apto;Deferido
PI;PSB;4036;HERACLITO DE SOUSA FORTES;HERACLITO;Deputado Federal;Apto;Deferido
SP;PSD;5555;HERCULANO CASTILHO PASSOS JUNIOR;HERCULANO PASSOS;Deputado Federal;Apto;Deferido
PR;PMDB;1540;HERMES PARCIANELLO;HERMES FRANG�O PARCIANELLO;Deputado Federal;Apto;Deferido
GO;PSD;5500;HEULER ABREU CRUVINEL;HEULER CRUVINEL;Deputado Federal;Apto;Deferido
PR;PSC;2014;HIDEKAZU TAKAYAMA;TAKAYAMA;Deputado Federal;Apto;Deferido
MA;PMDB;1513;HILDO AUGUSTO DA ROCHA NETO;HILDO ROCHA;Deputado Federal;Apto;Deferido
RR;PMN;3333;HIRAN MANUEL GON�ALVES DA SILVA;DR. HIRAN GON�ALVES;Deputado Federal;Apto;Deferido
AM;PPS;2323;HISSA NAGIB ABRAH�O FILHO;HISSA ABRAH�O;Deputado Federal;Apto;Deferido
RJ;PROS;9090;HUGO LEAL MELO DA SILVA;HUGO LEAL;Deputado Federal;Apto;Deferido
PB;PMDB;1522;HUGO MOTTA WANDERLEY DA NOBREGA;HUGO;Deputado Federal;Apto;Deferido
SP;PSB;4096;IOLANDA KEIKO MIASHIRO OTA;OTA;Deputado Federal;Apto;Deferido
PI;PP;1111;IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA;IRACEMA PORTELLA;Deputado Federal;Apto;Deferido
TO;PSD;5510;IRAJ� SILVESTRE FILHO;IRAJ� ABREU;Deputado Federal;Apto;Deferido
SP;PSOL;5050;IVAN VALENTE;IVAN VALENTE;Deputado Federal;Apto;Deferido
DF;PSDB;4545;IZALCI LUCAS FERREIRA;IZALCI;Deputado Federal;Apto;Deferido
PR;PSDB;4566;JACOB ALFREDO STOFFELS KAEFER;ALFREDO KAEFER;Deputado Federal;Apto;Deferido
MG;PSD;5550;JAIME MARTINS FILHO;JAIMINHO MARTINS;Deputado Federal;Apto;Deferido
RJ;PP;1120;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;Deputado Federal;Apto;Deferido
RJ;PC do B;6565;JANDIRA FEGHALI;JANDIRA FEGHALI;Deputado Federal;Apto;Deferido
AP;PSB;4040;JANETE MARIA G�ES CAPIBERIBE;JANETE;Deputado Federal;Apto;Deferido
PE;PMDB;1515;JARBAS DE ANDRADE VASCONCELOS;JARBAS;Deputado Federal;Apto;Deferido
RJ;PSOL;5005;JEAN WYLLYS DE MATOS SANTOS;JEAN WYLLYS;Deputado Federal;Apto;Deferido
SP;PSD;5544;JEFFERSON ALVES DE CAMPOS;JEFFERSON CAMPOS;Deputado Federal;Apto;Deferido
RS;PP;1133;JER�NIMO PIZZOLOTTO GOERGEN;JER�NIMO GOERGEN;Deputado Federal;Apto;Deferido
AC;PMDB;1515;J�SSICA ROJAS SALES;J�SSICA SALES;Deputado Federal;Apto;Deferido
DF;DEM;2525;JO�O ALBERTO FRAGA SILVA;FRAGA;Deputado Federal;Apto;Deferido
GO;PSDB;4565;JOAO CAMPOS DE ARAUJO;JOAO CAMPOS;Deputado Federal;Apto;Deferido
BA;PTN;1919;JOAO CARLOS BACELAR BATISTA;JOAO CARLOS BACELAR;Deputado Federal;Apto;Deferido
BA;PR;2288;JO�O CARLOS PAOLILO BACELAR FILHO;JO�O BACELAR;Deputado Federal;Apto;Deferido
MG;PT;1315;JO�O CARLOS SIQUEIRA;PADRE JO�O;Deputado Federal;Apto;Deferido
MA;PSDB;4555;JO�O CASTELO RIBEIRO GON�ALVES;JO�O CASTELO;Deputado Federal;Apto;Deferido
RS;PC do B;6565;JO�O DERLY DE OLIVEIRA NUNES JUNIOR;JO�O DERLY;Deputado Federal;Apto;Deferido
PE;PSB;4040;JOAO FERNANDO PONTUAL COUTINHO;JOAO FERNANDO COUTINHO;Deputado Federal;Apto;Deferido
RJ;PR;2200;JOAO FERREIRA NETO;DR JO�O;Deputado Federal;Apto;Deferido
BA;PSDB;4567;JO�O GUALBERTO VASCONCELOS;JO�O GUALBERTO;Deputado Federal;Apto;Deferido
AL;SD;7777;JO�O HENRIQUE HOLANDA CALDAS;JHC;Deputado Federal;Apto;Deferido
